id	role	alias	tag
151	Choral Arranger	choral arranger	ARRANGER
9853	Choral Copyist	choral copyist	PERFORMER
9714	Choral Music	choral music	PERFORMER
3851	Choral Score	choral score	PERFORMER
3523	Choral Second Engineer	choral second engineer	PERFORMER
6327	Choral Text	choral text	PERFORMER
4082	Chords	chords	PERFORMER
1022	Choreographer	choreographer	PERFORMER
6704	Choreographer Commentary	choreographer commentary	PERFORMER
2917	Choreography Assistant	choreography assistant	PERFORMER
2231	Choreography Coordinator	choreography coordinator	PERFORMER
4725	Choreography Manager	choreography manager	PERFORMER
1557	Choreography Producer	choreography producer	PERFORMER
2916	Choreography Supervisor	choreography supervisor	PERFORMER
110	Chorus	chorus	PERFORMER
5735	Chorus Advisor	chorus advisor	PERFORMER
10259	Chorus Apprentice	chorus apprentice	PERFORMER
9297	Chorus Arrangement Support	chorus arrangement support	PERFORMER
113	Chorus Arranger	chorus arranger	ARRANGER
